"subject" "activity_label" "variable" "mean"
1 "LAYING" "tBodyAcc-mean()-X" 0.265696920582133
2 "LAYING" "tBodyAcc-mean()-X" 0.273113115788079
3 "LAYING" "tBodyAcc-mean()-X" 0.273428719636364
4 "LAYING" "tBodyAcc-mean()-X" 0.274183111498423
5 "LAYING" "tBodyAcc-mean()-X" 0.279177960301325
6 "LAYING" "tBodyAcc-mean()-X" 0.272376614181538
7 "LAYING" "tBodyAcc-mean()-X" 0.270211697814935
8 "LAYING" "tBodyAcc-mean()-X" 0.270759063295374
9 "LAYING" "tBodyAcc-mean()-X" 0.270313841621528
10 "LAYING" "tBodyAcc-mean()-X" 0.27684847392517
11 "LAYING" "tBodyAcc-mean()-X" 0.27658531139557
12 "LAYING" "tBodyAcc-mean()-X" 0.27360872421875
13 "LAYING" "tBodyAcc-mean()-X" 0.275895876198777
14 "LAYING" "tBodyAcc-mean()-X" 0.270184596009288
15 "LAYING" "tBodyAcc-mean()-X" 0.27821340725
16 "LAYING" "tBodyAcc-mean()-X" 0.277887440374317
17 "LAYING" "tBodyAcc-mean()-X" 0.274029548065217
18 "LAYING" "tBodyAcc-mean()-X" 0.276324152142857
19 "LAYING" "tBodyAcc-mean()-X" 0.269723487105556
20 "LAYING" "tBodyAcc-mean()-X" 0.268425757926554
21 "LAYING" "tBodyAcc-mean()-X" 0.277466525522059
22 "LAYING" "tBodyAcc-mean()-X" 0.274767690046106
23 "LAYING" "tBodyAcc-mean()-X" 0.273493254730108
24 "LAYING" "tBodyAcc-mean()-X" 0.276767046391076
25 "LAYING" "tBodyAcc-mean()-X" 0.275301467772127
26 "LAYING" "tBodyAcc-mean()-X" 0.2730365808625
27 "LAYING" "tBodyAcc-mean()-X" 0.277264567074468
28 "LAYING" "tBodyAcc-mean()-X" 0.277532554764398
29 "LAYING" "tBodyAcc-mean()-X" 0.279111521944767
30 "LAYING" "tBodyAcc-mean()-X" 0.276305836721932
1 "SITTING" "tBodyAcc-mean()-X" 0.265696920582133
2 "SITTING" "tBodyAcc-mean()-X" 0.273113115788079
3 "SITTING" "tBodyAcc-mean()-X" 0.273428719636364
4 "SITTING" "tBodyAcc-mean()-X" 0.274183111498423
5 "SITTING" "tBodyAcc-mean()-X" 0.279177960301325
6 "SITTING" "tBodyAcc-mean()-X" 0.272376614181538
7 "SITTING" "tBodyAcc-mean()-X" 0.270211697814935
8 "SITTING" "tBodyAcc-mean()-X" 0.270759063295374
9 "SITTING" "tBodyAcc-mean()-X" 0.270313841621528
10 "SITTING" "tBodyAcc-mean()-X" 0.27684847392517
